date,tempActual,tempIdeal,heaterStatus,fanStatus,opStatus
Sat Nov 21 2020 20:49:34 GMT-0600 (hora estándar central),18.19,18,0,0,1
Sat Nov 21 2020 20:49:36 GMT-0600 (hora estándar central),18.19,18.00,0,0,118
Sat Nov 21 2020 20:49:39 GMT-0600 (hora estándar central),18.19,18,0,0,0
Sat Nov 21 2020 20:49:40 GMT-0600 (hora estándar central),18.25,18.00,0,0,118
Sat Nov 21 2020 20:49:43 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:49:46 GMT-0600 (hora estándar central),18.19,18,0,0,1
Sat Nov 21 2020 20:49:46 GMT-0600 (hora estándar central),18.25,18.00,0,0,0
Sat Nov 21 2020 20:49:50 GMT-0600 (hora estándar central),18.25,18.00,0,0,1
Sat Nov 21 2020 20:49:53 GMT-0600 (hora estándar central),18.19,18.00,0,0,1
Sat Nov 21 2020 20:49:56 GMT-0600 (hora estándar central),18.19,18.00,0,0,1
Sat Nov 21 2020 20:49:59 GMT-0600 (hora estándar central),18.25,18.00,0,0,1
Sat Nov 21 2020 20:50:03 GMT-0600 (hora estándar central),18.19,18.00,0,0,1
Sat Nov 21 2020 20:50:04 GMT-0600 (hora estándar central),18.19,18,0,0,0
Sat Nov 21 2020 20:50:06 GMT-0600 (hora estándar central),18.25,18.00,0,0,0
Sat Nov 21 2020 20:50:09 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:50:13 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:50:16 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:50:19 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:50:23 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:50:26 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:50:29 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:50:32 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:50:36 GMT-0600 (hora estándar central),18.25,18.00,0,0,0
Sat Nov 21 2020 20:50:39 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:50:42 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:50:46 GMT-0600 (hora estándar central),18.25,18.00,0,0,0
Sat Nov 21 2020 20:50:49 GMT-0600 (hora estándar central),18.25,18.00,0,0,0
Sat Nov 21 2020 20:50:52 GMT-0600 (hora estándar central),18.25,18.00,0,0,0
Sat Nov 21 2020 20:50:56 GMT-0600 (hora estándar central),18.25,18.00,0,0,0
Sat Nov 21 2020 20:50:59 GMT-0600 (hora estándar central),18.25,18.00,0,0,0
Sat Nov 21 2020 20:51:02 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:51:05 GMT-0600 (hora estándar central),18.25,18.00,0,0,0
Sat Nov 21 2020 20:51:09 GMT-0600 (hora estándar central),18.25,18.00,0,0,0
Sat Nov 21 2020 20:51:12 GMT-0600 (hora estándar central),18.25,18.00,0,0,0
Sat Nov 21 2020 20:51:15 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:51:19 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:51:22 GMT-0600 (hora estándar central),18.25,18.00,0,0,0
Sat Nov 21 2020 20:51:25 GMT-0600 (hora estándar central),18.25,18.00,0,0,0
Sat Nov 21 2020 20:51:28 GMT-0600 (hora estándar central),18.25,18.00,0,0,0
Sat Nov 21 2020 20:51:32 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:51:35 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:51:38 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:51:42 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:51:45 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:51:48 GMT-0600 (hora estándar central),18.25,18.00,0,0,0
Sat Nov 21 2020 20:51:52 GMT-0600 (hora estándar central),18.25,18.00,0,0,0
Sat Nov 21 2020 20:51:55 GMT-0600 (hora estándar central),18.25,18.00,0,0,0
Sat Nov 21 2020 20:51:58 GMT-0600 (hora estándar central),18.19,18.00,0,0,0
Sat Nov 21 2020 20:52:01 GMT-0600 (hora estándar central),18.25,18.00,0,0,0
